Time,TemperatureC,DewpointC,PressurePa,WindDirection,WindDirectionDegrees,WindSpeedKMH,WindSpeedGustKMH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SoftwareType,DateUTC
12/10/2016 1:32,1,0.555555556,100803.45,NNW,337,0,0,97,0,,,0,Rainwise IP-100,12/10/2016 6:32
12/10/2016 1:33,0,0,100600.83,ENE,67,2.253076,0,94,0,,,0,Rainwise IP-100,12/10/2016 6:33
12/10/2016 1:38,-3,-5,100634.6,NNW,337,6.759228,426.4751,78,0,,,0,Rainwise IP-100,12/10/2016 6:38
12/10/2016 1:43,-5,-10,100634.6,NNE,22,4.184284,9.65604,66,0,,,0,Rainwise IP-100,12/10/2016 6:43
12/10/2016 1:45,-3,-6.555555556,100600.83,NNE,14,4.988954,426.636034,77,-2539.746,,,0,Rainwise +Telemet,12/10/2016 6:45
12/10/2016 1:48,-5,-10,100634.6,NNW,337,0,6.43736,67,0,,,0,Rainwise IP-100,12/10/2016 6:48
12/10/2016 1:53,-5,-10,100634.6,North,360,4.82802,6.43736,67,0,,,0,Rainwise IP-100,12/10/2016 6:53
12/10/2016 2:00,-6,-10.83333333,100600.83,North,4,3.057746,7.885766,66,-2539.746,,,0,Rainwise +Telemet,12/10/2016 7:00
12/10/2016 2:03,-6,-10,100634.6,North,360,0,6.43736,66,0,,,0,Rainwise IP-100,12/10/2016 7:03
12/10/2016 2:08,-6,-10,100634.6,NNE,22,2.253076,4.82802,67,0,,,0,Rainwise IP-100,12/10/2016 7:08
12/10/2016 2:13,-6,-10,100634.6,North,360,4.506152,4.506152,67,0,,,0,Rainwise IP-100,12/10/2016 7:13
12/10/2016 2:15,-6,-11.05555556,100634.6,North,4,2.41401,5.63269,66,-2539.746,,,0,Rainwise +Telemet,12/10/2016 7:15
12/10/2016 2:18,-6,-11.66666667,100634.6,North,360,0,4.82802,67,0,,,0,Rainwise IP-100,12/10/2016 7:18
12/10/2016 2:23,-6,-11.66666667,100634.6,WNW,292,0,1.60934,67,0,,,0,Rainwise IP-100,12/10/2016 7:23
12/10/2016 2:28,-6,-10,100668.37,WNW,292,0,1.60934,69,0,,,0,Rainwise IP-100,12/10/2016 7:28
12/10/2016 2:30,-6,-11.05555556,100634.6,NW,318,0,1.770274,67,-2539.746,,,0,Rainwise +Telemet,12/10/2016 7:30
12/10/2016 2:33,-6,-10,100668.37,WNW,292,0,0,70,0,,,0,Rainwise IP-100,12/10/2016 7:33
12/10/2016 2:38,-6,-10,100634.6,WNW,292,0,0,70,0,,,0,Rainwise IP-100,12/10/2016 7:38
12/10/2016 2:43,-6,-10,100634.6,WNW,292,0,0,70,0,,,0,Rainwise IP-100,12/10/2016 7:43
12/10/2016 2:45,-6,-10.77777778,100634.6,WNW,292,0,0,69,-2539.746,,,0,Rainwise +Telemet,12/10/2016 7:45
12/10/2016 2:48,-6,-10,100634.6,WNW,292,0,1.60934,70,0,,,0,Rainwise IP-100,12/10/2016 7:48
12/10/2016 2:53,-6,-10,100634.6,West,270,1.931208,3.21868,70,0,,,0,Rainwise IP-100,12/10/2016 7:53
12/10/2016 2:58,-6,-10,100668.37,West,270,1.931208,4.82802,70,0,,,0,Rainwise IP-100,12/10/2016 7:58
12/10/2016 3:00,-6,-10.66666667,100634.6,West,277,0.965604,5.954558,70,-2539.746,,,0,Rainwise +Telemet,12/10/2016 8:00
12/10/2016 3:03,-6,-10,100668.37,West,270,3.379614,4.82802,69,0,,,0,Rainwise IP-100,12/10/2016 8:03
12/10/2016 3:08,-6,-10,100668.37,West,270,2.253076,4.82802,69,0,,,0,Rainwise IP-100,12/10/2016 8:08
12/10/2016 4:44,-6,-10,100668.37,WSW,247,3.701482,0,69,0,,,0,Rainwise IP-100,12/10/2016 9:44
12/10/2016 4:45,-6,-10.83333333,100634.6,WSW,247,1.126538,4.82802,69,-2539.746,,,0,Rainwise +Telemet,12/10/2016 9:45
12/10/2016 4:49,-6,-10,100668.37,WSW,247,0,4.82802,69,0,,,0,Rainwise IP-100,12/10/2016 9:49
12/10/2016 4:54,-6,-11.66666667,100668.37,WSW,247,0,1.60934,68,0,,,0,Rainwise IP-100,12/10/2016 9:54
12/10/2016 4:59,-6,-11.66666667,100668.37,WSW,247,0,0,68,0,,,0,Rainwise IP-100,12/10/2016 9:59
12/10/2016 5:00,-6,-11,100668.37,WSW,247,0,2.092142,68,-2539.746,,,0,Rainwise +Telemet,12/10/2016 10:00
12/10/2016 5:04,-6,-11.66666667,100668.37,WSW,247,0,0,66,0,,,0,Rainwise IP-100,12/10/2016 10:04
12/10/2016 5:09,-6,-11.66666667,100668.37,WSW,247,0,1.60934,67,0,,,0,Rainwise IP-100,12/10/2016 10:09
12/10/2016 5:14,-6,-11.66666667,100668.37,WSW,247,0,0,67,0,,,0,Rainwise IP-100,12/10/2016 10:14
12/10/2016 5:15,-6,-11.33333333,100668.37,WSW,247,0,1.770274,66,-2539.746,,,0,Rainwise +Telemet,12/10/2016 10:15
12/10/2016 5:20,-6,-11.33333333,100668.37,WSW,247,0,1.770274,66,-2539.746,,,0,Rainwise +Telemet,12/10/2016 10:20
12/10/2016 15:47,-6,-11.66666667,100668.37,East,90,475.55997,0,67,0,,,0,Rainwise IP-100,12/10/2016 20:47
12/10/2016 15:52,-6,-11.66666667,100972.3,NNE,22,0,474.7553,61,0,,,0,Rainwise IP-100,12/10/2016 20:52
12/10/2016 15:57,-5,-11.66666667,100972.3,NNE,22,0,11.26538,55,0,,,0,Rainwise IP-100,12/10/2016 20:57
12/10/2016 16:00,-6,-12.22222222,100938.53,North,2,3.379614,475.55997,59,-2539.746,,,0,Rainwise +Telemet,12/10/2016 21:00
12/10/2016 16:02,-5,-11.66666667,100972.3,West,270,1.931208,4.82802,56,0,,,0,Rainwise IP-100,12/10/2016 21:02
12/10/2016 16:07,-5,-11.66666667,100972.3,NNW,337,0,3.21868,56,0,,,0,Rainwise IP-100,12/10/2016 21:07
12/10/2016 16:12,-5,-11.66666667,100972.3,NNW,337,0,1.60934,57,0,,,0,Rainwise IP-100,12/10/2016 21:12
12/10/2016 16:17,-6,-11.66666667,100972.3,West,270,3.379614,3.379614,57,0,,,0,Rainwise IP-100,12/10/2016 21:17
12/10/2016 16:22,-6,-11.66666667,100972.3,West,270,2.574944,3.21868,58,0,,,0,Rainwise IP-100,12/10/2016 21:22
12/10/2016 16:27,-6,-11.66666667,100972.3,West,270,1.931208,3.21868,58,0,,,0,Rainwise IP-100,12/10/2016 21:27
12/10/2016 16:30,-6,-12.88888889,100972.3,West,272,2.41401,4.345218,57,-2539.746,,,0,Rainwise +Telemet,12/10/2016 21:30
12/10/2016 16:32,-6,-13.33333333,100972.3,West,270,0,3.21868,59,0,,,0,Rainwise IP-100,12/10/2016 21:32
12/10/2016 16:37,-6,-11.66666667,101006.07,West,270,3.379614,3.379614,60,0,,,0,Rainwise IP-100,12/10/2016 21:37
12/10/2016 16:42,-6,-11.66666667,101006.07,West,270,2.253076,3.21868,60,0,,,0,Rainwise IP-100,12/10/2016 21:42
12/10/2016 16:45,-6,-12.77777778,100972.3,West,270,2.092142,4.184284,59,-2539.746,,,0,Rainwise +Telemet,12/10/2016 21:45
12/10/2016 16:47,-6,-11.66666667,101006.07,West,270,0,3.21868,61,0,,,0,Rainwise IP-100,12/10/2016 21:47
12/10/2016 16:52,-7,-11.66666667,101039.84,West,270,0,1.60934,63,0,,,0,Rainwise IP-100,12/10/2016 21:52
12/10/2016 16:57,-7,-11.66666667,101039.84,West,270,0,0,64,0,,,0,Rainwise IP-100,12/10/2016 21:57
12/10/2016 17:00,-7,-12.61111111,101006.07,West,270,0,1.770274,62,-2539.746,,,0,Rainwise +Telemet,12/10/2016 22:00
12/10/2016 17:02,-7,-11.66666667,101039.84,West,270,0,1.60934,65,0,,,0,Rainwise IP-100,12/10/2016 22:02
12/10/2016 17:07,-7,-11.66666667,101039.84,West,270,0,0,67,0,,,0,Rainwise IP-100,12/10/2016 22:07
12/10/2016 17:12,-8,-11.66666667,101039.84,West,270,0,0,68,0,,,0,Rainwise IP-100,12/10/2016 22:12
12/10/2016 17:17,-8,-11.66666667,101039.84,West,270,0,0,69,0,,,0,Rainwise IP-100,12/10/2016 22:17
12/10/2016 17:22,-8,-11.66666667,101039.84,West,270,0,0,70,0,,,0,Rainwise IP-100,12/10/2016 22:22
12/10/2016 17:27,-8,-11.66666667,101039.84,West,270,0,0,70,0,,,0,Rainwise IP-100,12/10/2016 22:27
12/10/2016 17:30,-8,-12.61111111,101006.07,West,270,0,0,69,-2539.746,,,0,Rainwise +Telemet,12/10/2016 22:30
12/10/2016 17:32,-8,-11.66666667,101039.84,West,270,0,0,70,0,,,0,Rainwise IP-100,12/10/2016 22:32
12/10/2016 17:37,-8,-11.66666667,101073.61,NNW,337,0,6.43736,71,0,,,0,Rainwise IP-100,12/10/2016 22:37
12/10/2016 17:42,-9,-11.66666667,101039.84,West,270,0,4.82802,71,0,,,0,Rainwise IP-100,12/10/2016 22:42
12/10/2016 17:45,-8,-12.94444444,101039.84,NW,313,1.126538,7.081096,70,-2539.746,,,0,Rainwise +Telemet,12/10/2016 22:45
