date,flow
10/1/14,10300
10/2/14,10400
10/3/14,10200
10/4/14,9520
10/5/14,8690
10/6/14,10100
10/7/14,10400
10/8/14,10400
10/9/14,10400
10/10/14,10300
10/11/14,9500
10/12/14,8550
10/13/14,10100
10/14/14,10400
10/15/14,10200
10/16/14,10300
10/17/14,10400
10/18/14,9600
10/19/14,8640
10/20/14,10200
10/21/14,10300
10/22/14,10100
10/23/14,10200
10/24/14,10200
10/25/14,9430
10/26/14,8560
10/27/14,10200
10/28/14,10100
10/29/14,10300
10/30/14,10500
10/31/14,10400
11/1/14,8730
11/2/14,8530
11/3/14,8550
11/4/14,8700
11/5/14,8530
11/6/14,8630
11/7/14,8570
11/8/14,8530
11/9/14,8630
11/10/14,17000
11/11/14,37900
11/12/14,38000
11/13/14,37800
11/14/14,37800
11/15/14,19600
11/16/14,8440
11/17/14,8420
11/18/14,8330
11/19/14,8460
11/20/14,8470
11/21/14,8520
11/22/14,8590
11/23/14,8530
11/24/14,8530
11/25/14,8490
11/26/14,8550
11/27/14,8540
11/28/14,8610
11/29/14,8510
11/30/14,8570
12/1/14,13900
12/2/14,14700
12/3/14,14600
12/4/14,14700
12/5/14,14700
12/6/14,14100
12/7/14,13200
12/8/14,14500
12/9/14,14700
12/10/14,14700
12/11/14,14800
12/12/14,14800
12/13/14,14200
12/14/14,13200
12/15/14,14500
12/16/14,14700
12/17/14,14600
12/18/14,14800
12/19/14,14700
12/20/14,14200
12/21/14,13000
12/22/14,14500
12/23/14,14700
12/24/14,14600
12/25/14,13100
12/26/14,14500
12/27/14,14200
12/28/14,13000
12/29/14,14500
12/30/14,14700
12/31/14,14600
1/1/15,12800
1/2/15,14700
1/3/15,13800
1/4/15,12900
1/5/15,14800
1/6/15,14800
1/7/15,14800
1/8/15,14700
1/9/15,14800
1/10/15,14000
1/11/15,12800
1/12/15,14800
1/13/15,14800
1/14/15,14800
1/15/15,14700
1/16/15,14700
1/17/15,13800
1/18/15,12900
1/19/15,14800
1/20/15,14800
1/21/15,14800
